OP_Schulformen;OP_POKrz;OP_Krz;OP_Abgangsart_B;OP_Abgangsart_NB;OP_Art;OP_Typ;OP_Bildungsgang;OP_Name;OP_Kommentar;OP_Jahrgaenge;OP_BKIndex;OP_BKAnl_Typ;OP_Reihenfolge;gueltigVon;gueltigBis
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BP;;;A;;B;Berufspraktikum für Erz. nach APO-BK-99, Anl.D, § 42, 43;D, § 42,43;-01-;-18-19-;-D03-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/FHR-S;;;A;;A;FHRsT: schulischer Teil der Fachhochschulreife nach APO-BK-99, Anl.D, § 13;D, § 13;-01-02-03-;-16-17-;-D01-D02-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/V11;;;V;;A;Versetzung in die Jahrgangsstufe 12 nach APO-BK-99, Anl.D, § 5;D, § 5;-01-;-16-;-D01-D02-;1;;
-BK-SB-;APO-BK-99/D-FOS13;APO-BK-99/D-FOS13/AHR;;;A;;A;AHR: allgemeine Hochschulreife nach APO-BK-99, Anl.D, § 57 (3) und § 58 (2);D, § 57 (3), § 58 (2);-02-03-;-20-;-D05-D06-;1;;
-BK-SB-;APO-BK-99/D-FOS13;APO-BK-99/D-FOS13/FGHR;;;A;;A;FGHR: fachgebundene Hochschulreife nach APO-BK-99, Anl.D, § 58 (3);D, § 58 (3);-02-03-;-20-;-D05-D06-;1;;
-BK-SB-;APO-BK-99/E;APO-BK-99/E/FOR;;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - nach APO-BK-99, Anl.E, § 5;E, § 5;-01-;-21-22-25-;-E01-E05-E09-;1;;
-BK-SB-;APO-BK-99/E;APO-BK-99/E/V;;;V;;A;Versetzung nach APO-BK-99 § 10;§ 10;-01-02-03-;-21-22-23-24-25-26-;-E01-E02-E03-E04-E05-E06-E07-E08-E09-E10-E13-;1;;
-BK-SB-;APO-BK-99/E-Agrar-1J;APO-BK-99/E-Agrar-1J/BAB-I;;;A;;B;BAB: Berufsabschluss Stufe I nach APO-BK-99, Anl.E, § 21, 65 - 73;E, § 21, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-Agrar-1J;APO-BK-99/E-Agrar-1J/BAB-II;;;A;;B;BAB: Berufsabschluss Stufe II und Fachhochschulreife nach APO-BK-99, Anl.E, § 21, 65 - 73, § 76;E, § 21, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-Agrar-2J;APO-BK-99/E-Agrar-2J/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 21, 65 - 73, § 76;E, § 21, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/E-Augenopt;APO-BK-99/E-Augenoptik/BAB;;;A;;B;BAB: Berufsabschluss  nach APO-BK-99, Anl.E, § 55, 65 - 73, § 76;E, § 55, 65 - 73;-01-02-03-04-;-25-26-;-E09-E10-;1;;
-BK-SB-;APO-BK-99/E-Ernäh-1J;APO-BK-99/E-Ernährung-1J/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 25, 65 - 73;E, § 25, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-Ernäh-2J;APO-BK-99/E-Ernährung-2J/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 25, 65 - 73, § 76;E, § 25, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/E-Gestalt;APO-BK-99/E-Gestaltung/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 12, 65 - 73, § 76;E, § 12, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/E-HeilerzP;APO-BK-99/E-Heilerz.Pflege/BAB-FP;;;A;;B;fachpraktische Prüfung nach APO-BK-99, Anl.E, § 40;E, § 33 - 37, 65 - 73;-01-02-03-04-;-24-;-E06-E08-;1;;
-BK-SB-;APO-BK-99/E-HeilerzP;APO-BK-99/E-Heilerz.Pflege/BAB-FT;;;A;;B;fachtheoretische Prüfung nach APO-BK-99, Anl.E, § 40;E, § 33 - 37, 65 - 73;-01-02-03-04-05-06-;-23-;-E05-E07-;1;;
-BK-SB-;APO-BK-99/E-HeilerzP;APO-BK-99/E-Heilerz.Pflege/FHR;;;A;;A;FHR: Fachhochschulreife nach APO-BK-99, Anl.E, § 40;E, § 31, 33, 65 - 73;-01-02-03-04-;-23-24-;-E05-E06-E07-E08-;1;;
-BK-SB-;APO-BK-99/E-HeilerzP;APO-BK-99/E-Heilerz.Pflege/V1;;;V;;A;Besondere Versetzungsbestimmung für die Fachschule für Sozialpädagogik nach APO-BK-99, Anl. E, § 40;E, § 32;-01-02-03-04-;-23-;-E05-E07-;1;;
-BK-SB-;APO-BK-99/E-HeilerzH;APO-BK-99/E-HeilerzHilfe/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 47, 65 - 73;E, § 47, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-HeilerzH;APO-BK-99/E-HeilerzHilfe/BAB-FOR;;;A;;A;FOR: Gleichwertiger Abschluss zum Sekundarabschluss I - Fachoberschulreife - nach APO-BK-99, Anl.E, § 49;E, § 47, 49, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-Heilpäd;APO-BK-99/E-Heilpäd/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 43, 65 - 73, § 76;E, § 43, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/E-Informat;APO-BK-99/E-Informatik/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 62, 63, 65 - 73;E, § 62, 63, 65 - 73;-01-02-03-04-;-25-26-;-E09-E10-;1;;
-BK-SB-;APO-BK-99/E-Mode;APO-BK-99/E-Mode/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 58, 65 - 73;E, § 58, 65 - 73;-01-02-03-04-;-25-26-;-E09-E10-;1;;
-BK-SB-;APO-BK-99/E-Motopäd;APO-BK-99/E-Motopädie/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 51, 65 - 73;E, § 51, 65 - 73;-01-02-03-04-;-22-;-E03-E04-;1;;
-BK-SB-;APO-BK-99/E-SozPäd;APO-BK-99/E-SozPäd/BAB-FP;;;A;;B;fachpraktische Prüfung nach APO-BK-99, Anl.E, § 33 - 37, 65 - 73;E, § 33 - 37, 65 - 73;-01-02-03-04-;-24-;-E06-E08-;1;;
-BK-SB-;APO-BK-99/E-SozPäd;APO-BK-99/E-SozPäd/BAB-FT;;;A;;B;fachtheoretische Prüfung nach APO-BK-99, Anl.E, § 33 - 37, 65 - 73;E, § 33 - 37, 65 - 73;-01-02-03-04-05-06-;-23-;-E05-E07-;1;;
-BK-SB-;APO-BK-99/E-SozPäd;APO-BK-99/E-SozPäd/FHR;;;A;;A;FHR: Fachhochschulreife nach APO-BK-99, Anl.E, § 31, 33, 65 - 73, § 76;E, § 31, 33, 65 - 73;-01-02-03-04-;-23-24-;-E05-E06-E07-E08-;1;;
-BK-SB-;APO-BK-99/E-SozPäd;APO-BK-99/E-SozPäd/V1;;;V;;A;Besondere Versetzungsbestimmung für die Fachschule für Sozialpädagogik nach APO-BK-99, Anl. E, § 32;E, § 32;-01-02-03-04-;-23-;-E05-E07-;1;;
-BK-SB-;APO-BK-99/E-Technik;APO-BK-99/E-Technik/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 8, 65 - 73, § 76;E, § 8, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/E-Wirtsch;APO-BK-99/E-Wirtschaft/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.E, § 16, 65 - 73, § 76;E, § 16, 65 - 73;-01-02-03-04-;-21-;-E01-E02-;1;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/SI;;;A;;A;HA10: Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 - nach APO-BK-99, Anl. B, § 6 (2);B, § 6 (2);-01-;-6-7-;-B01-B02-;0;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/ABI;;;A;ABI;A;AHR: allgemeine Hochschulreife nach APO-WbK-00 § 58;§43, 57, 58;-06-;99;-G02-;1;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/FGO;;;A;FORQ;A;FORQ: Sekundarabschluss I - Fachoberschulreife - mit Berechtigung z. Besuch d. gymn. Oberstufe, nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (4);-02-03-04-;;-G02-;1;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/FHR;;;A;FHR;A;FHR: Fachhochschulreife nach APO-WbK-00 § 61;§ 61;-04-05-06-;;-G02-;1;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/FHR-S;;;A;;A;FHRsT: Fachhochschulreife nach APO-WbK-00 § 61;§ 61;-04-05-06-;;-G02-;0;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/FOR;;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (3);-02-03-04-;;-G02-;4;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/HSA;;;A;;A;HA: Hauptschulabschluss nach APO-WbK-00 § 60, 30 (1);§ 60, 30 (1);-01-02-92-;;-G02-;2;;
-WB-;APO-WbK-00/AG;APO-WbK-00AG/SI;;;A;;A;HA10: Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 - nach APO-WbK-00 § 60, 30 (2);§ 60, 30 (2);-02-03-;;-G02-;3;;
-WB-;APO-WBK10-AG;APO-WBK10-AG/V0;;;V;;A;Zulassung zum nächsten Semester;§ 39;-91-92-;99;-G02-;1;;
-WB-;APO-WBK10-AG;APO-WBK10-AG/V2;;;V;;A;Zulassung zum nächsten Semester;§ 39;-01-02-;;-G02-;1;;
-WB-;APO-WbK-00/AR;APO-WbK-00AR/FGO;;;A;FORQ;A;FORQ: Sekundarabschluss I - Fachoberschulreife - mit Berechtigung z. Besuch d. gymn. Oberstufe, nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (4);-02-03-04-;;-R02-;1;;
-WB-;APO-WbK-00/AR;APO-WbK-00AR/FOR;;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (3);-02-03-04-;;-R02-;1;;
-WB-;APO-WbK-00/AR;APO-WbK-00AR/HSA;;;A;;A;HA: Hauptschulabschluss nach APO-WbK-00 § 60, 30 (1);§ 60, 30 (1);-01-02-;;-R02-;1;;
-WB-;APO-WbK-00/AR;APO-WbK-00AR/SI;;;A;;A;HA10: Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 - nach APO-WbK-00 § 60, 30 (2);§ 60, 30 (2);-02-03-;;-R02-;1;;
-WB-;APO-WbK-00/AR;APO-WbK-00AR/V0-4;;;V;;A;Zulassung zum nächsthöheren Semester nach APO-WbK-00 § 24;§ 24 (2),(3);-91-92-01-02-03-;99;-R02-;1;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/ABI;;;A;ABI;A;AHR: allgemeine Hochschulreife nach APO-WbK-00 § 58;§43, 57, 58;-06-;99;-K02-;1;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/FGO;;;A;FORQ;A;FORQ: Sekundarabschluss I - Fachoberschulreife - mit Berechtigung z. Besuch d. gymn. Oberstufe, nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (4);-02-03-04-;;-K02-;1;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/FHR;;;A;FHR;A;FHR: Fachhochschulreife nach APO-WbK-00 § 61;§ 61;-04-05-06-;99;-K02-;1;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/FHR-S;;;A;;A;FHRsT: Fachhochschulreife nach APO-WbK-00 § 61;§ 61;-04-05-06-;;-K02-;1;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/FOR;;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - nach APO-WbK-00 § 60, 28 (3);§ 60, 28 (3), 30 (4);-02-03-04-;;-K02-;4;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/HSA;;;A;;A;HA: Hauptschulabschluss nach APO-WbK-00 § 60, 30 (1);§ 60, 30 (1);-01-02-92-;;-K02-;2;;
-WB-;APO-WbK-00/KL;APO-WbK-00KL/SI;;;A;;A;HA10: Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 - nach APO-WbK-00 § 60, 30 (2);§ 60, 30 (2);-02-03-;;-K02-;3;;
-WB-;APO-WBK10-KL;APO-WBK10-KL/V0;;;V;;A;Zulassung zum nächsten Semester;§ 39;-91-92-;99;-K02-;1;;
-WB-;APO-WBK10-KL;APO-WBK10-KL/V2;;;V;;A;Zulassung zum nächsten Semester;§ 39;-01-02-;;-K02-;1;;
-G-;G/AO-GS00/1-4;G/AO-GS00/KV1;;;V;;A;VVzAO GS Bildungsgang in der Grundschule AO-GS 00 §11;§11;-01-;;;1;;
-G-;G/AO-GS00/1-4;G/AO-GS00/V2-4;;;V;;A;Versetzung in den Klassen 2-4 AO-GS 00 §11(1) u. (2);§11(2);-02-03-04-;;;1;;
-GE-;APO-GOSt02/11-13;GE/APO-GOSt02/V12;G;;V;;A;Versetzung in die Jgst. 12;§9;-11-;;;1;;
-H-V-GE-S-;H/APO-SI05/5-9;H/APO-SI05/Abgangszeugnis;A;;A;;A;Abgangszeugnis ohne Hauptschulabschluss nach früh. 10 Schulbesuchsjahren;;-06-07-08-09-;;;0;;
-H-V-GE-S-;H/APO-SI05/10A;H/APO-SI05/OA10A;B;;A;;A;Ohne Abschluss;;-10-;;;0;;
-GE-;APO-GOSt02/11-13;GE/APO-GOSt02/ABI;K;;A;ABI;A;AHR: Zuerkennung der allgemeinen Hochschulreife;§39;-13-;;;1;;
-GE-;APO-GOSt02/11-13;GE/APO-GOSt02/FHR11;H;;A;FHR;A;FHRsT: schul. Teil d. FHR am Ende der Jgst. 11, APO-GOSt 02 §40(2) u. VV 40.21 in Verb. m. Anlage 17=§9;;-11-;;;1;;
-GE-;APO-GOSt02/11-13;GE/APO-GOSt02/FHR12;H;;A;FHR;A;FHRsT: schul. Teil d. FHR am Ende der Jgst. 12, APO-GOSt 02 §40(2) u. VV 40.21 in Verb. m. Anlage 18;;-12-13-;;;1;;
-BK-SB-;APO-BK-03/A-FK;APO-BK-03/A-FK/BSA;3D;;A;;B;BSA (HA10): Berufsschulabschluss nach APO-BK-03, Anl. A, § 9(1)-(3) (gleichwertig dem Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 -);A,§ 9(1)-(3);-02-03-04-;-1-;-A01-A02-A03-A04-A16-;1;;
-BK-SB-;APO-BK-03/A-FK;APO-BK-03/A-FK/FHR;3J;;A;;A;FHR: Fachhochschulreife nach APO-BK-03, Anl.A, § 10 und Anlage C § 6 -§ 12;A,§ 10;-03-04-;-1-;-A02-A16-;1;;
-BK-SB-;APO-BK-03/A-FK;APO-BK-03/A-FK/LA;;;V;;A;Leistungsanforderungen erfüllt nach APO-BK-03, Anl.A, § 8(1);A, § 8 (1);-01-02-03-;-1-;-A01-A02-A03-A04-A16-;0;;
-BK-SB-;APO-BK-03/A-FK;APO-BK-03/A-FK/V;;;V;;A;keine Versetzung  nach APO-BK-03, Anl. A, § 8 (2);A, § 8 (2);-01-02-03-;-1-;-A01-A02-A03-A04-A16-;0;;
-BK-SB-;APO-BK-03/A-BG;APO-BK-03/A-BG/BG;2A;0A;A;;B;BG: berufliche Grundbildung nach APO-BK-03, Anl.A, § 15;A, § 15 (1);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-03/A-BG;APO-BK-03/A-BG/FOR;SF;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - APO-BK-03, Anl. A, § 18 (2);A, § 18 (2);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-03/A-BG;APO-BK-03/A-BG/SI;2D;;A;;A;HA10: gleichwertiger Abschluss zum Sekundarabschluss I - Hauptschulabschluss nach Klasse 10 - nach APO-BK-03, Anl. A, § 18 (1);A, § 18 (1);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-03/A-JOA;APO-BK-03/A-JOA/BK;;;A;;B;BK: berufliche Kenntnisse nach APO-BK-03, Anl.A, § 19;A, § 19;-01-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-03/A-JOA;APO-BK-03/A-JOA/V11;;;V;;A;keine Versetzung am Ende des 1. Sj nach APO-BK-03, Anl. A, § 22 (1);A, § 22 (1);-01-;-4-;-A07-;0;;
-BK-SB-;APO-BK-03/A-JOA;APO-BK-03/A-JOA/BSP;;;A;;B;BSP: Erfüllung der Berufsschulpflicht nach APO-BK-03, Anl. A, VV zu § 22;A, VV § 22;-01-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-03/A-JOA;APO-BK-03/A-JOA/HSA;;;A;;A;HA: Hauptschulabschluss nach APO-BK-03, Anl.A, § 22 (3);A, § 22 (3);-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-03/A-VBG;APO-BK-03/A-VBG/BSP;;;A;;B;BSP: Erfüllung der Berufsschulpflicht nach APO-BK-03, Anl. A,  VV § 14;A, VV § 14;-01-;-2-;-A05-;1;;
-BK-SB-;APO-BK-03/A-VBG;APO-BK-03/A-VBG/HSA;1B;1A;A;;A;HA: Hauptschulabschluss nach APO-BK-03, Anl.A, § 14;A, § 14;-01-;-2-;-A05-;2;;
-BK-SB-;APO-BK-03/B;APO-BK-03/B/BAB;5A;;A;;B;BAB: Berufsabschluss nach APO-BK-03, Anl.B, § 7 (3);B, § 7 (3), § 13 (2),(6);-02-;-6-;-B01-;1;;
