NameTabelle;NameSpalte;Revision;Veraltet;Sortierung;Datentyp;Datenlaenge;DefaultWert;IsNotNull;JavaAttributName;JavaAttributConverter;JavaAttributConverterRevision;JavaAttributConverterVeraltet;JavaKommentar
AllgemeineMerkmaleKatalog_Schulformen;Merkmal_ID;;;1;bigint;;;1;;;;;die ID des allgemeinen Merkmals bei Schulen und/oder Schülern
AllgemeineMerkmaleKatalog_Schulformen;Schulform_Kuerzel;;;2;varchar;10;;1;;;;;das Kürzel des allgemeinen Merkmals bei Schulen und/oder Schülern
Benutzer;ID;;;1;bigint;;;1;;;;;Die ID des Benutzers
Benutzer;Typ;;;2;smallint;;0;1;;BenutzerTypConverter;1;;Der Typ des Benutzers (0 = Allgemeiner Benutzer, 1 = Lehrer bzw. Personal aus K_Lehrer, 2 = Schueler, 3 = Erzieher)
Benutzer;Allgemein_ID;;;3;bigint;;;0;;;;;Die ID des allgemeinen Benutzers, falls der Benutzer es sich um einen allgemeinen Benutzer handelt
Benutzer;Lehrer_ID;;;4;bigint;;;0;;;;;Die Lehrer-ID des Benutzers, falls der Benutzer es sich um einen Lehrer handelt
Benutzer;Schueler_ID;;;5;bigint;;;0;;;;;Die Schüler-ID des Benutzers, falls der Benutzer es sich um einen Schüler handelt
Benutzer;Erzieher_ID;;;6;bigint;;;0;;;;;Die erzieher-ID des Benutzers, falls der Benutzer es sich um einen Erzieher handelt
Benutzer;IstAdmin;;;7;int;;0;1;;Boolean01Converter;;;Gibt an, ob der Benutzer Administrator-Rechte hat (1) oder nicht (0)
BenutzerAllgemein;ID;;;1;bigint;;;1;;;;;Die ID des allgemeinen Benutzers
BenutzerAllgemein;AnzeigeName;;;2;varchar;255;;0;;;;;Der Anzeigename für den allgemeinen Benutzer
BenutzerAllgemein;CredentialID;;;3;bigint;;;0;;;;;Die ID des Credential-Eintrags
BenutzerEmail;Benutzer_ID;;;1;bigint;;;1;;;;;Die ID des Benutzers, zu dem der Datensatz gehört 
BenutzerEmail;Email;;;2;varchar;255;;1;;;;;Die EMail-Adresse des Benutzers, zu dem der Datensatz gehört 
BenutzerEmail;EmailName;;;3;varchar;255;;1;;;;;??? 
BenutzerEmail;SMTPUsername;;;4;varchar;255;;0;;;;;??? 
BenutzerEmail;SMTPPassword;;;5;varchar;255;;0;;;;;??? 
BenutzerEmail;EMailSignature;;;6;varchar;2047;;0;;;;;??? 
BenutzerEmail;HeartbeatDate;;;7;bigint;;;0;;;;;??? 
BenutzerEmail;ComputerName;;;8;varchar;255;;0;;;;;??? 
Benutzergruppen;ID;;;1;bigint;;;1;;;;;Die ID der Benutzergruppe
Benutzergruppen;Bezeichnung;;;2;varchar;255;;1;;;;;Die Bezeichnung der Benutzergruppe
Benutzergruppen;IstAdmin;;;3;int;;0;1;;Boolean01Converter;;;Gibt an, ob die Benutzergruppe Administrator-Rechte hat (1) oder nicht (0)
BenutzergruppenKompetenzen;Gruppe_ID;;;1;bigint;;;1;;;;;Die ID der Benutzergruppe
BenutzergruppenKompetenzen;Kompetenz_ID;;;2;bigint;;;1;;;;;Die ID der zugeordneten Kompetenz
BenutzergruppenMitglieder;Gruppe_ID;;;1;bigint;;;1;;;;;Die ID der Benutzergruppe
BenutzergruppenMitglieder;Benutzer_ID;;;2;bigint;;;1;;;;;Die ID des Benutzers
BenutzerKompetenzen;Benutzer_ID;;;1;bigint;;;1;;;;;Die ID des Benutzers
BenutzerKompetenzen;Kompetenz_ID;;;2;bigint;;;1;;;;;Die ID der zugeordneten Kompetenz
Berufskolleg_Anlagen;ID;;;1;bigint;;;1;;;;;ID der Anlage
Berufskolleg_Anlagen;Kuerzel;;;2;varchar;10;;1;;;;;Einstelliges Kürzel der Anlage (A,B,C,D,E,X,Z)
Berufskolleg_Anlagen;Bezeichnung;;;3;varchar;255;;1;;;;;Bezeichnung der Anlage
Berufskolleg_Anlagen;gueltigVon;;;4;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
Berufskolleg_Anlagen;gueltigBis;;;5;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
Berufskolleg_Berufsebenen1;ID;;;1;bigint;;;1;;;;;ID der Berufsebene 
Berufskolleg_Berufsebenen1;Kuerzel;;;2;varchar;10;;1;;;;;Kürzel der Berufsebene
Berufskolleg_Berufsebenen1;Bezeichnung;;;3;varchar;255;;1;;;;;Bezeichnung der Berufsebene
Berufskolleg_Berufsebenen1;gueltigVon;;;4;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
Berufskolleg_Berufsebenen1;gueltigBis;;;5;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
Berufskolleg_Berufsebenen2;ID;;;1;bigint;;;1;;;;;ID der Berufsebene 
Berufskolleg_Berufsebenen2;Kuerzel;;;2;varchar;10;;1;;;;;Kürzel der Berufsebene
Berufskolleg_Berufsebenen2;Bezeichnung;;;3;varchar;255;;1;;;;;Bezeichnung der Berufsebene
Berufskolleg_Berufsebenen2;gueltigVon;;;4;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
Berufskolleg_Berufsebenen2;gueltigBis;;;5;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
Berufskolleg_Berufsebenen3;ID;;;1;bigint;;;1;;;;;ID der Berufsebene 
Berufskolleg_Berufsebenen3;Kuerzel;;;2;varchar;10;;1;;;;;Kürzel der Berufsebene
Berufskolleg_Berufsebenen3;Bezeichnung;;;3;varchar;255;;1;;;;;Bezeichnung der Berufsebene
Berufskolleg_Berufsebenen3;gueltigVon;;;4;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
Berufskolleg_Berufsebenen3;gueltigBis;;;5;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
Berufskolleg_Fachklassen;ID;;;1;bigint;;;1;;;;;Die ID der Fachklasse
Berufskolleg_Fachklassen;FachklassenIndex;;;2;int;;;1;;;;;Der Index, welcher der Fachklasse für die Zuordnung zum Bildungsgang zugeordnet ist
Berufskolleg_Fachklassen;Schluessel;;;3;varchar;3;;1;;;;;Der erste Teil des Fachklassenschlüssels (FKS, dreistellig) 
Berufskolleg_Fachklassen;Schluessel2;;;4;varchar;2;;1;;;;;Der zweite Teil des Fachklassenschlüssels (AP, zweistellig)
Berufskolleg_Fachklassen;IstAusgelaufen;;;5;int;;0;1;;Boolean01Converter;;;Gibt an, ob die Fachklasse ausgelaufen ist oder nicht
Berufskolleg_Fachklassen;BerufsfeldGruppe;;;6;varchar;10;;1;;;;;Die Gruppe der Berufsfelder, welcher das Berufsfeld der Fachklasse
Berufskolleg_Fachklassen;Berufsfeld;;;7;varchar;10;;1;;;;;Das Berufsfeld, welchem die Fachklasse zugeordnet ist
Berufskolleg_Fachklassen;Berufsebene1;;;8;varchar;10;;1;;;;;Die Berufsebene 1
Berufskolleg_Fachklassen;Berufsebene2;;;9;varchar;10;;1;;;;;Die Berufsebene 2
Berufskolleg_Fachklassen;Berufsebene3;;;10;varchar;10;;1;;;;;Die Berufsebene 3
Berufskolleg_Fachklassen;Bezeichnung;;;11;varchar;255;;1;;;;;Die Bezeichnung der Fachklasse
Berufskolleg_Fachklassen;BezeichnungM;;;12;varchar;255;;1;;;;;Die Bezeichnung der Fachklasse (Text in männlicher Form)
Berufskolleg_Fachklassen;BezeichnungW;;;13;varchar;255;;1;;;;;Die Bezeichnung der Fachklasse (Text in weiblicher Form)
Berufskolleg_Fachklassen;gueltigVon;;;14;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
Berufskolleg_Fachklassen;gueltigBis;;;15;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
Berufskolleg_Fachklassen_Keys;FachklassenIndex;;;2;int;;;1;;;;;Der Index, welcher der Fachklasse für die Zuordnung zum Bildungsgang zugeordnet ist
Berufskolleg_Fachklassen_Keys;Schluessel;;;3;varchar;3;;1;;;;;Der erste Teil des Fachklassenschlüssels (FKS, dreistellig) 
Berufskolleg_Fachklassen_Keys;Schluessel2;;;4;varchar;2;;1;;;;;Der zweite Teil des Fachklassenschlüssels (AP, zweistellig)
Credentials;ID;;;1;bigint;;;1;;;;;ID des Datensatzes für die SVWS internen Account-Credentials
Credentials;Benutzername;;;2;varchar;255;;1;;;;;Benutzername für den Credential-Datensatz
Credentials;BenutzernamePseudonym;;;3;varchar;255;;0;;;;;Der pseudonymisierte Benutzername für den Credential-Datensatz
Credentials;Initialkennwort;;;4;varchar;255;;0;;;;;Initialkennwort für den Credential-Datensatz
Credentials;PasswordHash;;;5;varchar;255;;0;;;;;Passwordhash für den Credential-Datensatz
Credentials;RSAPublicKey;;;6;text;;;0;;;;;RSAPublicKey für den Credential-Datensatz
Credentials;RSAPrivateKey;;;7;text;;;0;;;;;RSAPrivateKey für den Credential-Datensatz
Credentials;AES;;;8;text;;;0;;;;;AES-Schlüssel für den Credential-Datensatz
CredentialsLernplattformen;ID;;;1;bigint;;;1;;;;;ID des Datensatzes für die externen Account-Credentials (Lernplattformen)
CredentialsLernplattformen;LernplattformID;;;2;bigint;;;1;;;;;ID der Lernplattform
CredentialsLernplattformen;Benutzername;;;3;varchar;255;;1;;;;;Benutzername für den Credential-Datensatz
CredentialsLernplattformen;BenutzernamePseudonym;;;4;varchar;255;;0;;;;;Der pseudonymisierte Benutzername für den Credential-Datensatz
CredentialsLernplattformen;Initialkennwort;;;5;varchar;255;;0;;;;;Initialkennwort für den Credential-Datensatz
CredentialsLernplattformen;PashwordHash;;;6;varchar;255;;0;;;;;Passwordhash für den Credential-Datensatz
CredentialsLernplattformen;RSAPublicKey;;;7;text;;;0;;;;;RSAPublicKey für den Credential-Datensatz
CredentialsLernplattformen;RSAPrivateKey;;;8;text;;;0;;;;;RSAPrivateKey für den Credential-Datensatz
CredentialsLernplattformen;AES;;;9;text;;;0;;;;;AES-Schlüssel für den Credential-Datensatz
DavRessourceCollections;ID;8;;1;bigint;;;1;;;;;ID der WebDav-Ressourcensammlung
DavRessourceCollections;Typ;8;;3;varchar;80;;1;;;;;Gibt den Typ dieser Sammlung an, bspw Adressbuch oder Kalender
DavRessourceCollections;Anzeigename;8;;4;varchar;120;;1;;;;;Der Anzeigename der Ressourcensammlung
DavRessourceCollections;Beschreibung;8;;5;varchar;2047;;0;;;;;Die Beschreibung der Ressourcensammlung
DavRessourceCollections;SyncToken;8;;6;datetime;;;1;;;;;Das SyncToken der Ressourcensammlung
DavRessourceCollections;Benutzer_ID;8;;1;bigint;;;1;;;;;Die ID des Benutzers, zu dem der Datensatz gehört
DavRessources;ID;8;;1;bigint;;;1;;;;;ID der Dav Ressource
DavRessources;DavRessourceCollection_ID;8;;2;bigint;;;1;;;;;Id der Ressourcensammlung, deren Teil diese Ressource ist
DavRessources;UID;8;;3;varchar;120;;1;;;;;Die UID der Ressource
DavRessources;lastModified;8;;5;datetime;;;1;;;;;Das Datum an dem die Ressource zuletzt geändert wurde, als Synctoken einsetzbar
DavRessources;KalenderTyp;8;;6;varchar;120;;1;;;;;Die Art der Kalenderressource, wenn es eine Kalenderressource ist
DavRessources;KalenderStart;8;;6;datetime;;;1;;;;;Der Start der Kalenderressource, wenn es eine Kalenderressource ist
DavRessources;KalenderEnde;8;;6;datetime;;;1;;;;;Das Ende der Kalenderressource, wenn es eines Kalenderressource ist
DavRessources;ressource;8;;7;longblob;;;1;;;;;Die Daten der Ressource
EigeneSchule;ID;;;1;bigint;;;1;;;;;ID des Datensatzes der eigenen Schule
EigeneSchule;SchulformNr;;;2;varchar;3;;0;;;;;Schulformnummer der eigenen Schule (Statkue IT.NRW)
EigeneSchule;SchulformKrz;;;3;varchar;3;;0;Schulform;SchulformKuerzelConverter;1;;Schulformkürzel der eigenen Schule (Statkue IT.NRW)
EigeneSchule;SchulformBez;;;4;varchar;50;;0;;;;;Bezeichnender Text der Schulform
EigeneSchule;SchultraegerArt;;;5;varchar;2;;0;;;;;Art des Schulträgers
EigeneSchule;SchultraegerNr;;;6;varchar;6;;0;;;;;Schulträgernummer aus dem Katalog der Schulver IT.NRW
EigeneSchule;SchulNr;;;7;varchar;6;;0;;StringToIntegerConverter;;;Eindeutige Schulnummer der eigenen Schule aus der Schulver IT.NRW
EigeneSchule;Bezeichnung1;;;8;varchar;50;;0;;;;;1. Text für die Bezeichnung der Schule
EigeneSchule;Bezeichnung2;;;9;varchar;50;;0;;;;;2. Text für die Bezeichnung der Schule
EigeneSchule;Bezeichnung3;;;10;varchar;50;;0;;;;;3. Text für die Bezeichnung der Schule
EigeneSchule;Strasse;;1;11;varchar;55;;0;;;;;Straße der eigenen Schule
EigeneSchule;Strassenname;;;12;varchar;55;;0;;;;;Straßenname der Schule
EigeneSchule;HausNr;;;13;varchar;10;;0;;;;;Hausnummer wenn getrennt gespeichert
EigeneSchule;HausNrZusatz;;;14;varchar;30;;0;;;;;Hausnummerzusatz wenn getrennt gespeichert
EigeneSchule;PLZ;;;15;varchar;10;;0;;;;;PLZ der eigenen Schule
EigeneSchule;Ort;;;16;varchar;50;;0;;;;;Ortsangabe der eigenen Schule
EigeneSchule;Telefon;;;17;varchar;20;;0;;;;;Telefonnummer der eigenen Schule
EigeneSchule;Fax;;;18;varchar;20;;0;;;;;Faxnummer der eigenen Schule
EigeneSchule;Email;;;19;varchar;100;;0;;;;;Email-Adresse der eigenen Schule
EigeneSchule;Ganztags;;;20;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Gibt an, ob die Schule Ganztagsbetrieb hat
EigeneSchule;Schuljahresabschnitts_ID;;;21;bigint;;;0;;;;;ID des Schuljahresabschnittes aus der Tabelle Schuljahresabschnitte
EigeneSchule;AnzahlAbschnitte;;;22;int;;2;0;;;;;Anzahl der verfügbaren Abschnitte (meist Halbjahre oder Quartale)
EigeneSchule;Fremdsprachen;;;23;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Welche Fremdsprachen werden unterrichtet
EigeneSchule;JVAZeigen;;;24;varchar;1;-;0;;BooleanPlusMinusDefaultMinusConverter;;;Schule unterrichtet in der Justizvollzugsanstalt
EigeneSchule;RefPaedagogikZeigen;;;25;varchar;1;-;0;;BooleanPlusMinusDefaultMinusConverter;;;Schule hat Reformpädagogischen-Zweig
EigeneSchule;AnzJGS_Jahr;;;26;smallint;;1;0;;;;;Anzahl der Jahrgangstufen pro Schuljahr (Semesterbetrieb WBK)
EigeneSchule;AbschnittBez;;;27;varchar;20;Halbjahr;0;;;;;Bezeichnung der Abschnitte
EigeneSchule;BezAbschnitt1;;;28;varchar;10;1. Hj;0;;;;;Bezeichnung des ersten Abschnitts
EigeneSchule;BezAbschnitt2;;;29;varchar;10;2. Hj;0;;;;;Bezeichnung des zweiten Abschnitts
EigeneSchule;IstHauptsitz;;;30;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Gibt an, ob die Datenbank am Hauptsitzder Schule ist (Dependancebetrieb)
EigeneSchule;NotenGesperrt;;;31;varchar;1;-;0;;BooleanPlusMinusDefaultMinusConverter;;;Sperrt die Noteneingabe
EigeneSchule;BezAbschnitt3;;;32;varchar;10;;0;;;;;Bezeichnung des dritten Abschnitts
EigeneSchule;BezAbschnitt4;;;33;varchar;10;;0;;;;;Bezeichnung des vierten Abschnitts
EigeneSchule;ZurueckgestelltAnzahl;;;34;int;;;0;;;;;Anzahl de Zurückgestellten Kinder in der Grundschule
EigeneSchule;ZurueckgestelltWeibl;;;35;int;;;0;;;;;Anzahl de Zurückgestellten weiblichen Kinder in der Grundschule
EigeneSchule;ZurueckgestelltAuslaender;;;36;int;;;0;;;;;Anzahl de Zurückgestellten ausländischen Kinder in der Grundschule
EigeneSchule;ZurueckgestelltAuslaenderWeibl;;;37;int;;;0;;;;;Anzahl de Zurückgestellten ausländischen weiblichen Kinder in der Grundschule
EigeneSchule;ZurueckgestelltAussiedler;;;38;int;;;0;;;;;DEPRECATED: Anzahl de Zurückgestellten ausgesiedelten Kinder in der Grundschule
EigeneSchule;ZurueckgestelltAussiedlerWeibl;;;39;int;;;0;;;;;DEPRECATED: Anzahl de Zurückgestellten ausgesiedelten weiblichen Kinder in der Grundschule
EigeneSchule;TeamTeaching;;;40;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Aktiviert das Teamteaching
EigeneSchule;AbiGruppenprozess;;;41;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Sperrt oder erlaubt die Gruppenprozesse für das Abitur
EigeneSchule;DauerUnterrichtseinheit;;;42;int;;;0;;;;;Dauer der Unterrichtseinheit (bei NULL = 45 Minuten)
EigeneSchule;Gruppen8Bis1;;;43;int;;;0;;;;;Schule hat Betreuung 8 bis 13
EigeneSchule;Gruppen13Plus;;;44;int;;;0;;;;;Gruppen in der 13Plus-Betreuung
EigeneSchule;InternatsplaetzeM;;;45;int;;;0;;;;;Internatsplätze männlilch
EigeneSchule;InternatsplaetzeW;;;46;int;;;0;;;;;Internatsplätze weiblich
EigeneSchule;InternatsplaetzeNeutral;;;47;int;;;0;;;;;Internatsplätze divers ohne Angabe
EigeneSchule;SchulLogo;;1;48;longblob;;;0;;;;;Schullogo als Bild im Binärformat
EigeneSchule;SchulLogoBase64;;;49;text;;;0;;;;;Schullogo als Bild im Base64-Format
EigeneSchule;SchulnrEigner;;1;50;int;;;0;;;;;Die Schulnummer zu welcher der Datensatz gehört – wird benötigt, wenn mehrere Schulen in einem Schema der Datenbank gespeichert werden
EigeneSchule;SchulleiterName;;1;51;varchar;120;;0;;;;;Nachname der Schulleitung
EigeneSchule;SchulleiterVorname;;1;52;varchar;80;;0;;;;;Vorname der Schulleitung
EigeneSchule;SchulleiterAmtsbez;;1;53;varchar;30;;0;;;;;Amtsbezeichnung der Schulleitung
EigeneSchule;SchulleiterGeschlecht;;1;54;int;;;0;;;;;Geschlecht der Schulleitung
EigeneSchule;StvSchulleiterName;;1;55;varchar;120;;0;;;;;Name der stellvertretenden Schulleitung
EigeneSchule;StvSchulleiterVorname;;1;56;varchar;80;;0;;;;;Vorname der stellvertretenden Schulleitung
EigeneSchule;StvSchulleiterAmtsbez;;1;57;varchar;30;;0;;;;;Amtsbezeichnung der stellvertretenden Schulleitung
EigeneSchule;StvSchulleiterGeschlecht;;1;58;int;;;0;;;;;Geschlecht der stellvertretenden Schulleitung
EigeneSchule;Einstellungen;;;59;text;;;0;;;;;DEPRECATED: Schild2 - Einstellungen zur Schule im INI-Format (kann in einem Texteditor gelesen werden). Wird in Schild 3 ausgelagert.
EigeneSchule;WebAdresse;;;60;varchar;100;;0;;;;;Enthält die Homepage-Adresse URL der Schule
EigeneSchule;Land;;;61;varchar;50;;0;;;;;Land der Schule ??? Wird wahrscheinlich für Bundeswehr verwendet?
EigeneSchule;Schuljahr;;1;62;int;;;0;;;;;Aktuelle Schuljahr der Datenbank
EigeneSchule;SchuljahrAbschnitt;;1;63;int;;;0;;;;;Aktueller Abschnitt der Datenbank
EigeneSchule_Abt_Kl;ID;;;1;bigint;;;1;;;;;ID der Klassenzugehörigkeit zu einer Abteilung
EigeneSchule_Abt_Kl;Abteilung_ID;;;2;bigint;;;1;;;;;ID der Abteilung in der übergeordneten Tabelle
EigeneSchule_Abt_Kl;Klassen_ID;1;;3;bigint;;;1;;;;;ID der Klasse die zur Abteilung gehört
EigeneSchule_Abt_Kl;Sichtbar;;;4;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;steuert die Sichtbarkeit der Klasse zur Abteilung
EigeneSchule_Abt_Kl;SchulnrEigner;;1;5;int;;;0;;;;;Die Schulnummer zu welcher der Datensatz gehört – wird benötigt, wenn mehrere Schulen in einem Schema der Datenbank gespeichert werden
EigeneSchule_Abt_Kl;Klasse;;1;3;varchar;6;;1;;;;;DEPRECATED: Klassenbezeichnung die zur Abteilung gehört
EigeneSchule_Abteilungen;ID;;;1;bigint;;;1;;;;;ID der Abteilung
EigeneSchule_Abteilungen;Bezeichnung;;;2;varchar;50;;1;;;;;Text für die Bezeichnung der Abteilung
EigeneSchule_Abteilungen;Schuljahresabschnitts_ID;;;3;bigint;;-1;1;;;;;ID des Schuljahresabschnittes aus der Tabelle Schuljahresabschnitte
EigeneSchule_Abteilungen;AbteilungsLeiter_ID;;;4;bigint;;;0;;;;;Lehrer-ID für den Abteilungsleiter
EigeneSchule_Abteilungen;Sichtbar;;;5;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;steuert die Sichtbarkeit der Abteilung
EigeneSchule_Abteilungen;Raum;;;6;varchar;20;;0;;;;;Bezeichnung für den Raum des Abteilungsleiter z.B. für Briefköpfe
EigeneSchule_Abteilungen;Email;;;7;varchar;100;;0;;;;;Email des Abteilungsleiters
EigeneSchule_Abteilungen;Durchwahl;;;8;varchar;20;;0;;;;;Telefonische Durchwahl des Abteilungsleiters
EigeneSchule_Abteilungen;Sortierung;;;9;int;;;0;;;;;Sortierung des Datensatzes
EigeneSchule_Abteilungen;AbteilungsLeiter;;1;10;varchar;10;;0;;;;;DEPRECATED: Lehrer-Kürzel für den Abteilungsleiter
EigeneSchule_Abteilungen;SchulnrEigner;;1;11;int;;;0;;;;;DEPRECATED: Schulnummer zu der der Datensatz gehört
EigeneSchule_Fachklassen;ID;;;1;bigint;;;1;;;;;ID der Fachklasse im schulinternen Katalog der Fachklassen nur BK und SBK
EigeneSchule_Fachklassen;BKIndex;;;2;smallint;;;0;;;;;BKIndex aus der Statkue bildet mit FKS und AP eine eindeutige Kombination IT.NRW
EigeneSchule_Fachklassen;FKS;;;3;varchar;3;;0;;;;;Fachklassenschlüssel bildet mit BKIndex und AP eine eindeutige Kombination IT.NRW
EigeneSchule_Fachklassen;AP;;;4;varchar;2;;0;;;;;Laufende Nummer zum FKS bildet mit FKS und BKIndex eine eindeutige Kombination IT.NRW
EigeneSchule_Fachklassen;Bezeichnung;;;5;varchar;100;;0;;;;;Bezeichnung der Fachklasse Text
EigeneSchule_Fachklassen;Sortierung;;;6;int;;32000;0;;;;;Sortiernummer der Fachklasse
EigeneSchule_Fachklassen;Sichtbar;;;7;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;steuert die Sichtbarkeit der Fachklasse
EigeneSchule_Fachklassen;Aenderbar;;;8;varchar;1;+;0;;BooleanPlusMinusDefaultPlusConverter;;;Gibt an ob die Fachklasse änderbar ist
EigeneSchule_Fachklassen;Kennung;;;9;varchar;10;;0;;;;;Kennung der Fachklasse
EigeneSchule_Fachklassen;FKS_AP_SIM;;;10;varchar;5;;0;;;;;Kombination aus FKS und AP mit Minuszeichen
EigeneSchule_Fachklassen;BKIndexTyp;;;11;varchar;3;;0;;;;;Typ des BKIndex IT.NW
EigeneSchule_Fachklassen;Beschreibung_W;;;12;varchar;100;;0;;;;;Weiblicher Beschreibungstext für die Fachklassenbezeichnung
EigeneSchule_Fachklassen;Status;;;13;varchar;20;;0;;;;;Status der Fachklasse kann auslaufend sein
EigeneSchule_Fachklassen;SchulnrEigner;;1;14;int;;;0;;;;;Die Schulnummer zu welcher der Datensatz gehört – wird benötigt, wenn mehrere Schulen in einem Schema der Datenbank gespeichert werden
EigeneSchule_Fachklassen;Lernfelder;;;15;text;;;0;;;;;Text für die Lernfelder die zur Fachklasse auf dem Zeugnis ausgewiesen werden
EigeneSchule_Fachklassen;DQR_Niveau;;;16;int;;;0;;;;;DQR-Niveau der Fachklasse Deutscher Qualitätsrahmen
EigeneSchule_Fachklassen;Ebene1Klartext;;;17;varchar;255;;0;;;;;Berufsebene 1
EigeneSchule_Fachklassen;Ebene2Klartext;;;18;varchar;255;;0;;;;;Berufsebene 2
EigeneSchule_Fachklassen;Ebene3Klartext;;;19;varchar;255;;0;;;;;Berufsebene 3
EigeneSchule_FachTeilleistungen;Teilleistung_ID;;;1;bigint;;;1;Teilleistungsart_ID;;;;Die eindeutige ID der Teilleistungsart – verweist auf die Teilleistungsart
EigeneSchule_FachTeilleistungen;Fach_ID;;;2;bigint;;;1;;;;;Die eindeutige ID des Faches – verweist auf das Fach
EigeneSchule_FachTeilleistungen;Kursart;;;3;varchar;5;;0;;;;;Gibt an, bei welcher Kursart die Teilleistungsart zugeordnet werden soll
EigeneSchule_FachTeilleistungen;SchulnrEigner;;1;4;int;;;1;;;;;Die Schulnummer zu welcher der Datensatz gehört – wird benötigt, wenn mehrere Schulen in einem Schema der Datenbank gespeichert werden
EigeneSchule_Faecher;ID;;;1;bigint;;;1;;;;;Eindeutige ID zur Kennzeichnung des Fächer-Datensatzes
EigeneSchule_Faecher;FachKrz;;;2;varchar;20;;0;Kuerzel;;;;Ein eindeutiges Kürzel zur Identifikation des Fach
EigeneSchule_Faecher;Bezeichnung;;;3;varchar;255;;0;;;;;Die Bezeichnung des Faches
