SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert;gueltigVon;gueltigBis
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);9;13;**;1;2017-01-05 15:54:33;;
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);12;4;**;1;2018-05-03 14:23:45;;
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:20:40;;
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:20:50;;
BK;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);7;13;**;1;2017-01-05 15:55:47;;
BK;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2020-08-13 11:55:54;;
BK;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:07:44;;
BK;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:07:48;;
BK;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);19;9;**;1;2016-07-04 10:30:05;;
BK;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);21;7;**;1;2016-02-29 16:07:09;;
BK;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);27;9;**;1;2016-02-29 16:07:19;;
BK;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);28;8;**;1;2016-02-29 16:07:24;;
BK;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);12;4;**;1;2018-05-03 13:36:18;;
BK;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);38;8;**;1;2020-08-13 12:01:35;;
SB;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);7;13;**;1;2017-01-05 15:56:31;;
SB;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);12;4;**;1;2018-05-03 14:23:48;;
SB;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-08 17:20:53;;
SB;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:20:57;;
SB;0G;Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:21:21;;
SB;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);19;9;**;1;2016-07-04 10:54:32;;
SB;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);21;7;**;1;2016-02-29 16:16:57;;
SB;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);27;9;**;1;2016-02-29 16:16:59;;
SB;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);28;8;**;1;2016-02-29 16:17:05;;
SB;0G;Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);38;8;**;1;2020-08-13 12:03:25;;
BK;0H;Fachhochschulreife (schulischer Teil);19;12;**;1;2016-07-04 10:33:32;;
BK;0H;Fachhochschulreife (schulischer Teil);28;8;**;1;2016-02-29 16:22:53;;
BK;0H;Fachhochschulreife (schulischer Teil);27;8;**;1;2016-02-29 16:27:10;;
SB;0H;Fachhochschulreife (schulischer Teil);19;12;**;1;2016-07-04 10:54:53;;
SB;0H;Fachhochschulreife (schulischer Teil);27;8;**;1;2016-02-29 16:27:29;;
SB;0H;Fachhochschulreife (schulischer Teil);28;8;**;1;2016-02-29 16:27:39;;
BK;0K;Allgemeine Hochschulreife;27;12;**;1;2016-02-29 16:38:45;;
BK;0K;Allgemeine Hochschulreife;28;3;**;1;2016-02-29 16:38:16;;
SB;0K;Allgemeine Hochschulreife;27;12;**;1;2016-02-29 16:42:12;;
SB;0K;Allgemeine Hochschulreife;28;3;**;1;2016-02-29 16:42:18;;
BK;1A;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten);5;1;**;1;2016-06-21 15:50:03;;
BK;1A;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten);6;1;**;1;2016-06-21 15:50:15;;
BK;1A;Abschlusszeugnis;33;1;**;1;2016-02-29 16:45:50;;
BK;1A;Abschlusszeugnis;34;2;**;1;2016-02-29 16:46:24;;
SB;1A;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten);5;1;**;1;2016-06-21 15:50:28;;
SB;1A;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten);6;1;**;1;2016-06-21 15:50:30;;
BK;1B;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss;5;1;**;1;2016-06-08 16:58:36;;
BK;1B;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss;6;1;**;1;2016-06-08 16:59:05;;
SB;1B;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss;5;1;**;1;2016-06-08 17:14:14;;
SB;1B;Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss;6;1;**;1;2016-06-08 17:13:45;;
BK;1G;Versetzungszeugnis der Klasse 11 FO und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);22;1;**;1;2016-02-29 16:50:57;;
SB;1G;Versetzungszeugnis der Klasse 11 FO und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);22;1;**;1;2016-02-29 16:51:31;;
BK;1P;Versetzungszeugnis der Klasse 11 FO;22;1;**;1;2016-02-29 16:51:29;;
SB;1P;Versetzungszeugnis der Klasse 11 FO;22;1;**;1;2016-02-29 16:52:17;;
BK;1S;Abschlusszeugnis und ein dem Hauptschulabschluss gleichwertiger Abschluss, ggfs. Berechtigung zum Besuch eines weiterführenden Bildungsgangs im Berufskolleg (nur für Internationale  Förderklassen);5;1;**;1;2016-06-09 11:55:30;;
SB;1S;Abschlusszeugnis und ein dem Hauptschulabschluss gleichwertiger Abschluss, ggfs. Berechtigung zum Besuch eines weiterführenden Bildungsgangs im Berufskolleg  (nur für Internationale  Förderklassen);5;1;**;1;2016-06-09 12:01:39;;
BK;3A;Berufsschulabschluss (für Schülerinnen und Schüler, die während der Berufsausbildung über ihre Eingangsqualifikation hinaus keinen höherwertigen allgemeinbildenden Abschluss erwerben);1;9;**;1;2016-06-08 16:57:08;;
SB;3A;Berufsschulabschluss (für Schülerinnen und Schüler, die während der Berufsausbildung über ihre Eingangsqualifikation hinaus keinen höherwertigen allgemeinbildenden Abschluss erwerben);1;9;**;1;2016-06-08 17:12:07;;
BK;3B;Berufsschulabschluss und Hauptschulabschluss nach Klasse 9 oder ein dem Hauptschulabschluss gleichwertiger Abschluss;1;9;**;1;2016-06-08 16:54:05;;
SB;3B;Berufsschulabschluss und Hauptschulabschluss nach Klasse 9 oder ein dem Hauptschulabschluss gleichwertiger Abschluss;1;9;**;1;2016-06-08 16:54:10;;
BK;3D;Berufsschulabschluss und Hauptschulabschluss nach Klasse 10 oder ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;1;9;**;1;2016-06-08 16:57:47;;
SB;3D;Berufsschulabschluss und Hauptschulabschluss nach Klasse 10 oder ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;1;9;**;1;2016-06-09 11:34:30;;
BK;3F;Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);1;9;**;1;2016-06-09 11:10:57;;
SB;3F;Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);1;9;**;1;2016-06-08 17:13:07;;
BK;3G;Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);1;9;**;1;2016-06-09 11:12:24;;
SB;3G;Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);1;9;**;1;2016-06-08 17:12:47;;
BK;3J;Berufsschulabschluss und Fachhochschulreife;2;12;**;1;2016-02-29 16:54:25;;
SB;3J;Berufsschulabschluss und Fachhochschulreife;2;12;**;1;2016-02-29 16:54:48;;
BK;4A;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten;15;1;**;1;2017-01-27 16:51:08;;
SB;4A;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten;15;1;**;1;2017-01-27 16:51:31;;
BK;4D;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;14;1;**;1;2016-06-08 17:04:38;;
BK;4D;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);21;7;**;1;2016-02-29 17:00:20;;
BK;4D;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschul-abschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler);38;2;**;1;2020-08-13 11:13:21;;
SB;4D;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);21;7;**;1;2016-02-29 17:03:10;;
SB;4D;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;14;1;**;1;2016-06-08 17:19:18;;
SB;4D;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschul-abschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler);38;2;**;1;2020-08-13 11:19:33;;
BK;4F;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);15;1;**;1;2016-06-09 12:15:38;;
SB;4F;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);15;1;**;1;2016-06-08 17:19:33;;
BK;4G;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);15;1;**;1;2016-06-09 12:54:51;;
BK;4G;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);21;7;**;1;2016-02-29 17:06:53;;
BK;4G;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);38;2;**;1;2020-08-13 11:14:38;;
SB;4G;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);21;7;**;1;2016-02-29 17:07:58;;
SB;4G;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);15;1;**;1;2016-06-08 17:20:04;;
SB;4G;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);38;2;**;1;2020-08-13 11:20:06;;
BK;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);27;12;**;1;2016-02-29 17:09:47;;
BK;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);28;3;**;1;2016-02-29 17:09:08;;
BK;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);21;2;**;1;2016-02-29 17:09:04;;
BK;4H;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);38;2;**;1;2020-08-13 11:15:18;;
BK;4H;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);38;3;**;1;2020-08-13 11:16:14;;
SB;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);21;2;**;1;2016-02-29 17:10:03;;
SB;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);28;3;**;1;2016-02-29 17:10:23;;
SB;4H;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);27;12;**;1;2016-02-29 17:10:06;;
SB;4H;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);38;2;**;1;2020-08-13 11:20:35;;
SB;4H;berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil);38;3;**;1;2020-08-13 11:21:07;;
BK;4J;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;23;1;**;1;2016-02-29 17:12:38;;
SB;4J;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;23;1;**;1;2016-02-29 17:12:52;;
BK;4K;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;28;3;**;1;2016-02-29 17:12:08;;
BK;4K;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;27;12;**;1;2016-02-29 17:11:29;;
SB;4K;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;28;3;**;1;2016-02-29 17:13:25;;
SB;4K;Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;27;12;**;1;2016-02-29 17:12:55;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);12;4;**;1;2018-05-03 13:36:21;;
BK;5A;Berufsabschluss;19;12;**;1;2016-07-04 10:34:18;;
BK;5A;Berufsabschluss;20;2;**;1;2016-03-02 12:31:48;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);7;13;**;1;2017-01-05 15:56:59;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);8;13;**;1;2017-01-05 15:57:01;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);9;13;**;1;2017-01-05 15:57:05;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);16;2;**;1;2016-06-09 12:06:15;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);13;4;**;1;2018-05-03 14:25:40;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);17;3;**;1;2016-02-29 17:20:00;;
BK;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);18;4;**;1;2016-02-29 17:20:33;;
FW;5A;Nur Berufsabschluss (nur Hiberniaschule);0;0;12;1;2013-06-06 09:20:21;;
SB;5A;Berufsabschluss;19;12;**;1;2016-07-04 10:55:10;;
SB;5A;Berufsabschluss;20;2;**;1;2016-03-02 12:32:34;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);7;13;**;1;2017-01-05 15:57:12;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);9;13;**;1;2017-01-05 15:57:32;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);12;4;**;1;2018-05-03 14:23:51;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses nach Klasse 10 oder einen höheren Abschluss erreicht hatten);16;2;**;1;2016-02-29 17:23:09;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);17;3;**;1;2016-02-29 17:23:10;;
SB;5A;Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten);18;4;**;1;2016-02-29 17:23:25;;
BK;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;12;4;**;1;2018-05-03 13:36:24;;
BK;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;7;13;**;1;2017-01-05 15:57:55;;
BK;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;8;13;**;1;2017-01-05 15:57:57;;
BK;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;9;13;**;1;2017-01-05 15:58:00;;
BK;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;13;4;**;1;2018-05-03 14:25:44;;
